Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2066-04-16,157.94131,77.51211,80.32584,0.40496767,28.739494,25.963448,31.515541,3.838410293410289,21.0388492063492,2066,4,30.0,8550.863370000001,5563.05745,2835.65395,5.552092999999999
2066-05-16,241.87785,112.24615,81.34663,0.32986778,28.762781,26.098808,31.426752,1.247316017316007,26.335776815776804,2066,5,31.0,8575.70342,5577.98478,2817.417,5.327944000000002
2066-06-16,158.61816,91.28391,80.26527,0.33409747,29.005913,26.16155,31.850275,5.996713564213554,27.25693241943241,2066,6,30.0,8562.00668,5529.629379999999,2817.30366,5.688725000000002
2066-07-16,165.71881,91.264046,80.287476,0.3224075,28.391968,25.607073,31.176859,6.013834776334769,19.8925986050986,2066,7,31.0,8509.64512,5471.57046,2820.60037,5.569786000000001
2066-08-16,204.73578,101.09656,80.89789,0.26635644,28.176332,25.468065,30.884598,2.7266450216450115,22.03448292448292,2066,8,30.99861111111111,8443.409650000001,5401.3034,2805.14963,5.416533000000001
2066-09-16,193.43538,88.09046,80.652985,-0.08060136,28.438574,25.610695,31.266449,2.2172198172198034,19.258237133237127,2066,9,30.0,8384.54075,5422.312269999999,2711.0126099999998,5.655754000000002
2066-10-16,251.61629,88.54575,81.91117,-0.16837847,28.328863,25.6163,31.041426,1.0749579124579052,28.59599567099566,2066,10,31.0,8324.58447,5347.781129999999,2678.4345299999995,5.425126000000002
2066-11-16,372.2478,121.69143,83.78463,-0.14796136,27.824732,25.409796,30.23967,0.0635317460317361,29.997222222222224,2066,11,30.0,8361.65719,5478.76848,2679.25863,4.829874
2066-12-16,374.4683,122.13288,84.06571,0.16174375,27.525885,25.254997,29.796774,0.1939285714285648,30.88611111111112,2066,12,30.9875,8385.40695,5526.25781,2754.17697,4.541777
2067-01-16,229.28413,90.59857,82.132545,0.34647408,27.37793,25.059591,29.696268,3.363462000961991,19.654241221741213,2067,1,30.99861111111111,8279.61213,5497.2737400000005,2796.46334,4.636676999999999
2067-02-16,75.20194,40.115818,78.63131,-0.34019113,27.54563,24.844873,30.246384,8.98056758056757,11.428725348725337,2067,2,27.99861111111111,8256.87312,5448.41665,2636.42366,5.401510999999999
2067-03-16,156.58154,77.02363,80.026,-0.5072983,28.142075,25.405588,30.878563,4.101931216931215,16.871750841750835,2067,3,31.0,8164.343330000001,5441.878030000001,2581.72729,5.472974999999998
2067-04-16,210.7155,102.14795,81.46339,-0.285586,28.71049,26.009209,31.411774,2.715887445887442,21.542132034632026,2067,4,30.0,8197.558930000001,5470.15543,2634.5014800000004,5.402565000000003
2067-05-16,186.6634,82.65438,81.89054,-0.48378947,28.621836,26.035906,31.207764,1.331901154401146,25.44013347763348,2067,5,31.0,8157.27181,5396.70403,2579.28703,5.171858
2067-06-16,159.3816,92.061,80.99343,-0.49817434,28.920935,26.171732,31.670134,5.722783790283785,25.090205627705625,2067,6,30.0,8109.6798499999995,5397.35413,2580.0504699999997,5.498402000000002
2067-07-16,159.10616,89.774414,80.91828,-0.58183193,28.630203,25.819466,31.440943,3.40449735449735,17.276204906204896,2067,7,31.0,8045.00828,5394.03819,2573.43782,5.621477000000002
2067-08-16,214.63719,106.27844,81.011566,-0.54696697,28.27726,25.539995,31.01452,2.6000949975949883,20.99003487253486,2067,8,30.99861111111111,7984.642629999999,5388.4888599999995,2583.33923,5.474525
2067-09-16,237.85028,106.99096,81.77653,-0.3712529,28.245115,25.521738,30.968489,0.8965969215969097,27.28236531986531,2067,9,29.995833333333334,8050.0664,5338.76674,2627.7541300000003,5.446751000000003
2067-10-16,231.18372,81.26847,81.6061,-0.4634618,28.207083,25.483522,30.930643,1.9989237614237505,28.17382756132756,2067,10,30.997222222222224,7955.10269,5285.75609,2607.3215600000003,5.447120999999999
2067-11-16,335.61777,108.29838,83.36202,-0.6546795,27.621649,25.159307,30.08399,0.708650793650787,29.573928571428567,2067,11,30.0,8049.46001,5249.95016,2570.69153,4.924683000000002
2067-12-16,297.53372,96.312035,83.677025,-1.0543269,27.5745,25.275848,29.873152,0.8781349206349189,28.31825396825396,2067,12,31.0,8020.01476,5247.93392,2493.75695,4.597304000000001
2068-01-16,272.8084,108.989655,83.04013,-0.8769378,27.380228,25.065306,29.695154,1.2065079365079283,22.619444444444444,2068,1,30.98333333333333,8034.55496,5333.74456,2537.28122,4.629847999999999
2068-02-16,123.16622,64.399536,80.18551,-0.61910695,27.745634,25.103806,30.38746,7.960006012506007,21.32746031746031,2068,2,28.99305555555556,8033.66215,5221.66916,2585.2455,5.283654000000002
2068-03-16,169.10623,80.99186,80.13086,-0.4732333,28.578873,25.873545,31.284195,3.9102176527176384,16.013184223184215,2068,3,31.0,8039.64822,5179.49748,2597.77019,5.41065
2068-04-16,203.88042,104.274635,81.660736,-0.40890262,28.858246,26.20756,31.508926,2.049739057239051,23.334611592111585,2068,4,30.0,8061.09054,5225.43659,2590.93511,5.301365999999998
2068-05-16,240.8885,112.364174,81.48577,-0.19950391,29.06684,26.34635,31.787325,2.049745069745058,28.81845839345839,2068,5,31.0,8041.86424,5224.44724,2645.16021,5.440974999999998
2068-06-16,171.87126,95.2728,80.20629,-0.1820948,28.825808,26.071915,31.579702,4.644997594997581,23.22068302068301,2068,6,29.997222222222224,8055.004,5237.70034,2657.64987,5.507787
2068-07-16,183.42232,102.145546,80.71137,-0.14960833,28.475342,25.714958,31.235725,4.171304713804711,20.357673160173142,2068,7,31.0,8076.00422,5255.40385,2681.96603,5.520766999999999
2068-08-16,234.27394,116.43616,81.4464,-0.096050166,28.312943,25.604364,31.021515,1.907558922558912,24.5360594035594,2068,8,30.99861111111111,8090.09164,5284.94201,2701.60278,5.4171510000000005
2068-09-16,246.36761,107.9222,81.710915,-0.051768195,28.438482,25.712774,31.16419,3.4426274651274533,26.374139009139004,2068,9,30.0,8048.88685,5337.87424,2710.12011,5.451416000000002
2068-10-16,357.1227,126.98414,83.37803,0.40693116,28.00165,25.451797,30.551506,0.2257106782106713,30.94513949013948,2068,10,30.99861111111111,8121.81518,5443.38065,2836.0590899999997,5.099709000000001
