Year,Month,pr,tas,hurs,tasmax,tasmin
1973,2,85.954475,26.159088,81.03002,28.023191,24.294989
1973,3,85.77778,26.69179,79.60814,28.71067,24.672905
1973,4,112.94421,27.27565,80.15818,29.338348,25.21295
1973,5,202.98764,27.311798,82.21386,29.277884,25.345713
1973,6,165.25917,27.527235,81.92782,29.53166,25.522808
1973,7,222.28372,27.062563,82.6702,29.019337,25.105787
1973,8,247.83685,26.608185,82.10189,28.571272,24.645098
1973,9,200.4266,26.926264,81.368996,28.893925,24.958605
1973,10,277.02994,26.779356,82.53198,28.733654,24.825064
1973,11,289.2924,26.544039,83.00696,28.408316,24.67976
1973,12,217.19983,25.402891,81.98276,27.106009,23.699774
1974,1,209.83144,24.840471,83.06036,26.440695,23.24025
1974,2,184.4389,25.163887,84.7426,26.814157,23.513615
1974,3,219.1846,25.634336,83.94796,27.383408,23.885265
1974,4,122.33073,26.448463,80.76838,28.45237,24.444557
1974,5,115.03146,26.853537,80.64289,28.909327,24.797747
1974,6,112.40907,26.614487,80.21114,28.69295,24.536022
1974,7,213.10938,26.206743,82.40039,28.11859,24.294897
1974,8,165.02681,26.882458,81.83795,28.86174,24.903177
1974,9,216.00076,26.659756,82.42464,28.605959,24.713549
1974,10,319.05603,26.063263,83.71478,27.995726,24.130804
1974,11,295.1601,25.763924,83.53528,27.572803,23.955044
1974,12,240.2353,25.755527,83.43338,27.454506,24.056545
1975,1,213.65756,25.554953,82.550735,27.233953,23.875954
1975,2,167.37706,25.35754,83.31543,26.99839,23.716688
1975,3,168.99245,25.967838,82.50877,27.749437,24.18624
1975,4,165.21971,26.454105,81.515526,28.363596,24.544615
1975,5,157.88672,27.002533,81.92367,28.946423,25.058643
1975,6,203.37518,26.569687,82.10616,28.52432,24.615051
1975,7,194.85474,26.263138,82.18305,28.198513,24.327766
1975,8,201.97032,26.373394,82.133644,28.326422,24.420362
1975,9,208.06633,26.250278,82.047615,28.25083,24.249725
1975,10,261.17236,26.064098,83.002014,27.994034,24.134169
1975,11,341.13287,25.845747,83.8665,27.65602,24.035473
1975,12,290.15152,25.780092,84.28351,27.438051,24.122131
1976,1,313.01312,25.424955,84.51261,27.054281,23.79563
1976,2,140.36647,25.457201,82.84294,27.154125,23.760275
1976,3,185.46294,26.05257,82.55119,27.828075,24.277063
1976,4,217.91869,26.434494,83.88205,28.299057,24.569931
1976,5,211.06638,26.821781,83.21313,28.68596,24.957602
1976,6,151.5967,26.94325,82.02929,28.935167,24.95133
1976,7,157.70175,26.638643,81.110054,28.680729,24.596554
1976,8,197.70413,26.404001,81.46762,28.429647,24.378355
1976,9,214.92255,26.278261,82.31314,28.238705,24.317816
1976,10,265.77872,26.282845,82.79118,28.231249,24.334444
1976,11,266.92392,26.047667,83.601845,27.835201,24.260134
1976,12,319.68637,25.671556,84.1449,27.307465,24.035648
1977,1,174.10312,25.141424,82.53098,26.747849,23.534996
1977,2,113.1086,24.7981,81.498604,26.496931,23.09927
1977,3,102.278114,25.70843,81.723076,27.680052,23.736803
1977,4,104.54983,26.716085,80.484764,28.796864,24.635307
1977,5,161.61333,26.895319,81.998,28.861794,24.928844
1977,6,213.588,26.71831,82.93804,28.662655,24.773964
1977,7,170.53006,26.636206,81.78619,28.600935,24.671476
1977,8,172.0074,26.711657,81.83988,28.699884,24.72343
1977,9,216.45612,26.405506,82.0409,28.37252,24.438492
1977,10,264.15903,26.313522,82.58361,28.261412,24.365635
1977,11,314.8753,25.992397,84.017426,27.798647,24.186144
1977,12,341.00122,25.503939,84.27934,27.203173,23.804707
1978,1,241.69011,25.1929,83.31526,26.80519,23.580608
1978,2,152.35583,25.009867,83.11325,26.679893,23.339842
1978,3,147.21616,25.520222,81.441376,27.368544,23.6719
1978,4,196.54158,26.336527,82.86852,28.188246,24.484808
1978,5,209.17648,26.512205,82.93787,28.38774,24.636673
1978,6,194.59277,26.782894,82.19544,28.781279,24.784508
1978,7,108.56345,26.851189,79.90746,28.936365,24.766016
1978,8,223.75763,26.165037,81.80013,28.165392,24.164679
1978,9,182.06346,26.237339,81.77609,28.192892,24.281792
1978,10,260.25443,26.176897,82.657845,28.121363,24.232426
1978,11,304.45523,26.100828,83.86551,27.944298,24.257362
1978,12,291.29376,25.679628,83.57478,27.34892,24.01034
1979,1,139.47656,25.423737,81.550446,27.11532,23.732147
1979,2,72.821526,26.331564,79.39983,28.272058,24.391071
1979,3,97.51091,26.820974,78.80484,28.782606,24.859344
1979,4,160.02669,27.20943,81.97946,29.136541,25.28232
1979,5,192.34372,27.414707,81.97906,29.38296,25.446455
1979,6,203.2795,27.138075,81.334404,29.083996,25.192152
1979,7,157.75803,27.110811,80.78917,29.125854,25.095764
1979,8,191.53215,26.880026,81.51544,28.880003,24.880045
1979,9,200.91862,26.665167,81.43733,28.731716,24.598621
1979,10,291.2581,26.387764,83.41813,28.31563,24.4599
1979,11,354.34518,26.035822,84.162735,27.856403,24.215237
1979,12,324.37848,25.288324,85.46055,26.887875,23.688772
1980,1,204.89223,25.274635,83.6858,26.937042,23.612225
1980,2,188.10443,25.567217,82.68581,27.237635,23.896801
1980,3,163.78108,26.057508,82.64245,27.855087,24.259928
1980,4,166.9132,26.664307,82.1452,28.557169,24.771442
1980,5,232.1538,26.986078,82.78522,28.91825,25.053907
1980,6,199.82243,26.769636,82.37138,28.747189,24.79208
1980,7,201.44705,26.419212,82.68199,28.33832,24.500107
1980,8,152.2592,26.616016,81.549416,28.596386,24.635647
1980,9,185.86176,26.646114,81.43097,28.641016,24.651209
1980,10,281.61243,26.171955,83.39186,28.078835,24.265076
1980,11,303.94705,25.964039,83.91884,27.785162,24.142914
1980,12,301.264,25.44146,84.25451,27.068048,23.814867
1981,1,215.61607,25.104013,83.410385,26.712055,23.495968
1981,2,76.18334,25.098375,80.65004,26.89965,23.297102
1981,3,133.006,26.069803,81.90737,27.929958,24.209646
1981,4,114.59609,26.794186,80.89991,28.78012,24.808249
1981,5,203.28012,27.099142,82.48354,29.031662,25.166622
1981,6,201.2634,26.758303,82.438484,28.706081,24.810522
1981,7,164.67323,26.4835,82.103584,28.405785,24.561214
1981,8,144.81252,26.57271,81.032524,28.624205,24.52121
1981,9,241.55501,26.277288,83.26345,28.195253,24.359324
1981,10,239.67215,26.220657,82.8649,28.13449,24.306826
1981,11,256.45312,26.145437,83.25942,27.942451,24.348423
1981,12,278.51566,25.81863,82.90232,27.552273,24.084988
1982,1,97.75217,25.222204,80.53263,27.060629,23.38378
1982,2,107.451965,25.576513,81.355255,27.382326,23.770704
1982,3,106.23106,26.223951,81.092606,28.115345,24.332556
1982,4,138.62512,26.741503,81.92052,28.6937,24.789309
1982,5,184.47484,26.98235,82.044876,28.976168,24.988535
1982,6,161.8724,26.840105,81.10714,28.877151,24.803057
1982,7,141.38004,26.79069,80.4151,28.854908,24.72647
1982,8,217.2812,26.393856,81.856186,28.3588,24.428907
1982,9,202.0618,26.435194,82.24882,28.421799,24.448593
1982,10,291.16074,26.180689,83.11701,28.143145,24.218233
1982,11,274.89697,25.877329,84.428955,27.68483,24.06983
1982,12,257.8606,25.33308,83.60248,26.9887,23.677464
1983,1,253.63069,24.518684,84.81357,26.06996,22.967411
1983,2,101.97962,25.196276,82.828514,26.91755,23.475002
1983,3,154.33485,25.91971,83.146065,27.707989,24.131432
1983,4,160.01292,26.643734,82.595276,28.545044,24.742422
1983,5,261.47668,26.71984,83.08474,28.608763,24.830915
1983,6,142.55531,26.836164,80.1771,28.919441,24.752886
1983,7,123.61492,26.936209,80.08289,29.016733,24.855682
1983,8,196.86902,26.49396,81.04147,28.53187,24.45605
1983,9,154.2253,26.295692,80.30263,28.354834,24.236551
1983,10,226.6679,26.130264,82.205505,28.106604,24.153925
1983,11,275.85742,26.218029,83.431404,28.10669,24.329363
1983,12,344.86063,26.076115,84.717064,27.741877,24.410355
1984,1,202.38582,25.765175,82.36981,27.42162,24.10873
1984,2,111.37991,26.152502,81.29495,27.925453,24.379549
1984,3,138.61067,26.722673,82.04411,28.59152,24.853827
1984,4,194.1378,27.243454,82.63734,29.15966,25.32725
1984,5,214.05167,27.217709,82.34583,29.143057,25.292355
1984,6,216.99806,26.982317,81.89551,28.926691,25.03794
1984,7,185.8537,26.869192,81.50873,28.843443,24.894943
1984,8,221.47086,26.752285,82.17849,28.706203,24.798367
1984,9,202.24716,26.627554,81.73712,28.625713,24.629398
1984,10,281.2251,26.233517,82.860214,28.162184,24.304848
1984,11,318.33475,25.629578,83.99007,27.420519,23.838636
1984,12,210.09651,25.413174,84.357445,27.094856,23.731497
1985,1,180.34346,25.361904,83.39749,27.009623,23.714186
1985,2,79.39358,25.859781,81.071884,27.684109,24.035456
1985,3,113.62881,26.387804,80.681694,28.260183,24.515427
1985,4,180.66594,26.894783,82.10123,28.796669,24.992895
1985,5,210.34338,27.108082,81.96762,29.044352,25.171812
1985,6,217.91833,26.820286,82.09451,28.831303,24.809267
1985,7,182.4738,26.42505,81.93807,28.388397,24.4617
1985,8,202.77608,26.458355,82.65712,28.37137,24.54534
1985,9,242.88069,26.413277,82.764755,28.355112,24.471441
1985,10,221.56859,26.416962,82.19575,28.303404,24.530521
1985,11,290.35468,26.545084,83.04382,28.395613,24.694551
1985,12,367.4355,26.455477,84.334175,28.155754,24.7552
