Year,Month,Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd
1963,6,1963-06-16,183.61989,103.4573,81.74529,-0.03035464,26.183006,23.438255,28.927755,1.2371645021644908,19.63701178451178,29.72533309283309
1963,7,1963-07-16,136.13422,75.30563,80.5848,-0.2711608,26.296274,23.461807,29.13074,3.2575877825877777,16.674211159211158,30.831397306397303
1963,8,1963-08-16,134.37788,67.13831,80.00809,-0.2859349,26.389662,23.486502,29.292822,3.325853775853773,16.150372775372766,30.882273929773923
1963,9,1963-09-16,276.1863,125.526375,83.53904,-0.199935,25.742289,23.12909,28.355492,0.0931565656565625,29.867063492063483,29.630479797979792
1963,10,1963-10-16,288.1189,104.668396,83.30609,-0.22081257,25.451378,22.794756,28.108,0.8689886964886921,30.71113756613756,30.679559884559875
1963,11,1963-11-16,272.90582,87.86895,84.33639,-0.433863,25.45185,22.93297,27.970734,0.17027777777777778,29.5897619047619,29.652332852332847
1963,12,1963-12-16,305.01236,99.486534,84.60379,-0.35661212,24.914785,22.602072,27.227503,0.8473412698412616,30.842182539682533,29.773373015873013
1964,1,1964-01-16,212.84215,78.26099,82.64895,-0.32080904,24.743217,22.358683,27.127748,3.1989009139009026,18.722389369889363,29.409706589706587
1964,2,1964-02-16,150.42676,75.59032,81.6318,-0.6759934,25.466902,22.914576,28.019228,4.978113275613263,20.233870851370845,28.424892977392975
1964,3,1964-03-16,144.4246,77.39783,80.877174,-0.89573413,25.92118,23.16635,28.676016,5.691896344396342,18.016564454064444,30.790508658008648
1964,4,1964-04-16,186.78203,92.073906,81.5708,-0.86473244,26.413382,23.664846,29.161911,4.173715728715718,21.254214766714757,29.925799663299653
1964,5,1964-05-16,198.27423,91.115395,82.534325,-0.6514683,26.770294,24.032827,29.507767,1.8825505050504978,27.289496151996147,30.913888888888888
1964,6,1964-06-16,179.76512,100.531555,82.02897,-0.6880438,26.572601,23.858566,29.286638,1.361697931697928,24.58314694564693,29.88493265993265
1964,7,1964-07-16,201.46812,112.5426,82.15521,-0.5074699,26.230936,23.531248,28.930626,1.4585822510822455,26.84128787878787,30.772095959595948
1964,8,1964-08-16,213.3534,105.27786,81.911766,-0.2549282,26.168411,23.43936,28.897463,1.4906914381914353,24.38395021645021,30.81652236652236
1964,9,1964-09-16,218.37354,97.61032,82.03954,-0.43742618,26.200014,23.470976,28.929056,0.6441883116882986,29.114088504088496,29.858809523809512
1964,10,1964-10-16,317.19504,112.45287,83.724434,-0.34044552,25.75045,23.199411,28.30149,0.15508898508898147,30.508296055796052,30.672433862433856
1964,11,1964-11-16,276.67953,92.007355,83.7149,-0.30179927,25.75651,23.252998,28.260023,0.1960714285714236,29.819047619047616,29.714229196729192
1964,12,1964-12-16,309.22122,100.48696,83.82839,-0.30314788,25.557724,23.23114,27.88431,0.8381746031745949,30.621111111111112,30.520220057720046
